tea,l7GQ-fR-DsA
science,63NSXGtnLNQ
school,OvDIlDiFmnU
school uniform,-1AseGWh7vU
school bag,JHh44ooGaY4
schedule,rxLiUBQv4s4
scent, perfume,jzoSaQe5fdU
scan,3Eq8FeSFJpY
Saudi Arabia,tt4b-WhpGQo
ketchup, sauce,v1TI57zaJKw
Saturday,Eni6gYBX_-g
satisfied,z_Tnhup1J5I
Sarvepalli Radhakrishnan,h3ZdKfu7Vws
sari (sign 2),zEth840lEVE
sari (sign 1),0LXJqXx8dVU
Saraswati,ei3OdPKC1-4
Sanjay Dutt,lRYgVqrUDl0
sanitary pad (sign 2),UpTUXgf7Wck
sanitary pad (sign 1),Tj5FRh9ASMU
sandwich (sign 3),DzL4k1Vy3gc
sandwich (sign 2),wgrN2DNXukc
sandwich (sign 1),WV786dTqOyQ
sandwich (aloo),rn-sFXA7utE
sand,AW-lxiaveRY
Samsung,v0Rb3W378JA
Samsung Mobile,L1n0OnAH5YU
samosa,vvCzSnLu_4Q
same (sign 4),bL8PcxnwN74
same (sign 3),K4bb2bBt1uY
same (sign 2),6T7sRjrH2hU
same (sign 1),JJamPbb5o_A
salwar,f2qC92s1N98
salt,7EWF3Rsjn6Y
Salman Khan,C9ZLmgNDV_Y
salesman,qZX74ORSxgU
6 six,T6vd9Criu48
7 seven,MZZ52lsCfSw
16 sixteen,YgZcsvejUF0
salesman (example),zMVhZxmiK-s
salary,YbaTI-fVR9c
Saina Nehwal,SwLX5yOifFI
sailor,bP0ibVNj7TU
sailboat,9r5BkbHQKg4
Sai Baba,xpy5egrPAZ0
safe (sign 2),1NcamL3P63A
safe (sign 1),jXFwSjb4-KU
sad,vzzmwuU-sMg
sacrifice,0dz5Em9gsjk
sacrifice (example),0MJRREhKkDs
Sachin Tendulkar,rzbnEVG06b8
70 seventy,5reXwGDh438
60 sixty,ILinyrxnsEs
17 seventeen,GHp2q1IoF6I
Scotland,nt6YlBv1Qv0
scorpion,itp7CE5KiEQ
score,I6kZM0sKraQ
scooter,iEwyPUtL9s0
scold,h_Ja2phijtY
scissors,2Os6w6jmxIg
scientist,tDvbCVB02yA
scratch (car),rY6VvljDcc0
secret (sign 2),l59aZl_Jrto
second (time),mY5LdfQ0sjQ
season,meGXyGsCWhs
search,3ppf7DdzKvA
sea,muFgzetIJP4
sculptor,SSkoetdv7G4
sculptor (example),FnSIbbCAQ3s
scratch (skin),3NIFg2ExoMs
scratch (paper),UJyI-681CrM
secret (sign 3),eRceNyZCsU4
shallow (sign 2),nEoBtV3LSLw
shallow (sign 1),aCSZ-jr5Y_o
Shahrukh Khan,5FnTx-WdmWY
Seychelles,bxQU88YWOhg
sex,TW2KbOGRx2I
seventh,HV7L78k5KeE
set,uqZJa7q4N5U
service,6lJS7YqGLVU
servant,o34Uvfsrpy0
select,Adn8_szuH5A
seed (sign 2),bNwhA4fMWCI
seed (sign 1),PpE3Mdz1Z4w
see,vnOgaQ_eFNs
see you tomorrow,-p-Uj-p_Gso
security guard,ABHbs7wII44
secretary,8z04XWMENWY
sequential (sign 2),MH1cXARmtE0
sequential (sign 1),hVx3X80m2rk
September,7Rq6uvvCPd0
separate (sign 3),xwAdIP51jIs
separate (sign 2),4ZGhwybcIc0
separate (sign 1),aQT4jI0jMWc
sentence,en7qAq3Vc1c
send,d9MAodEjHsc
seminar,OUr2XSyxfsY
semicircle,3n8cKQOSZfM
sell,w8RSWGCRPDg
self-reflect,CoKtBDPhPbg
selfish,1STccvjvCKQ
self,FFAd29BYBxs
shallow,UhTcSU973TE
shape (sign 1),tyLcsnN8-v4
shape (sign 2),jax7fVU9f8E
share (finance) (sign 1),Eakrhy1WezE
share (finance) (sign 2),j2M1Yp100ek
secret (sign 1),70wTMPGmS-U
share,kvs0joxjS98
since,SG-B3o7bMAc
simultaneous,Fu11XkNRBis
similar (sign 2),42axCoiER4s
similar (sign 1),1tyx9hWefCk
SIM card,XalS8Nhpxy8
silver (sign 3),FlB4FQhBm5M
silver (sign 2),e6Mi_ArdxVo
silver (sign 1),4msaL_BcYug
silk,VEALNsI7Ijg
Sikkim,FIj5kYw23Og
Sikhism, Sikh (sign 2),31l98A8z-h4
signature, sign,1NqEYBhtmZE
Signature Bridge,9R1zY0Hnzug
sign,1HI4TKdLMOw
sign language,SInKhy-06qA
sightseeing,RdhTo_18rQg
side,Ubkc3VIH4QY
sick (sign 2),NUKt0kkYSg4
sick (sign 1),z_WykkCqulk
sibling,NsQZ8by-g_k
shy (sign 2),2GL0HkOQVmA
shy (sign 1),GkpQNio4dSE
shower,TZqRg598wGQ
show,YoqthDSpmXU
shoulder,IlO3fdD1Ytk
should,9rOnDWXhyaU
short,ez4pS4IS6N8
shopkeeper,xnZNmESjKrQ
shop,iwNBFzTrAjk
shoot,EktuCHkw7Ss
shoot (video),XdNhZENdMvM
shoot (photo),Ssub7QHvQIA
shoes,yD9wwZmkJlw
shocked,7r-E5BNnbZU
shock (sign 2),7Le7IfihZ0g
shock (sign 1),ZmPkrJiAoGU
Shiva (sign 2),LmYvU2JuJK0
Shiva (sign 1),BRymuHzC43Q
shirt,f3PZuOrAeqM
ship,vqWFY4rbASg
shine (sign 2),F0Yx7_4Ox0c
shine (sign 1),UgLgrXYY9Es
Shimla,RAvAYYM05v4
[Private video],IsvFw88fne8
shift,uwDxpyWDKEI
sheep (sign 2),7MBisqj8VbE
sheep (sign 1),9gZg_sd9G88
she,_rEVVtT1I44
shawl (sign 4),w_FY56WkUPM
shawl (sign 3),l3fZdrppyaI
shawl (sign 2),eWbekocb_go
shawl (sign 1),pBeRmN-a5lU
shaving trimmer,BJgvTIe5avM
shaving razor (sign 2),23L4Zan3GuY
shaving razor (sign 1),mjwekhNRLbY
shaving brush,MzwOHZTi4OU
shaving blade,raF-yOcZpkk
Shatabdi Express,XFDOnLG4P7Y
sharpener,lMQiMzxO_IU
sharp,IGuFuS-aMpo
shark,JumxHKPgPsw
Sikhism, Sikh (sign 1),cyyBiFbtefI
shooting,52KfVYsiiXw
sky,wK63rmj8--U
skirt,LfeTLkxBG30
skin,EUJyZCB8UoE
skiing,Cn1Q6q6XtMI
skating,KcNbuobK5GI
size (sign 2),Mbhtmmf-0E4
size (sign 1),i4YK5ssItV4
six (cricket),m6Uby73Tg3s
situation,4LM1k8KifiY
sit (sign 2),FQYd1BVpZ54
sit (sign 1),CEHCaHC8hK0
sing,Eic6GMcQ9Tc
sister,SxnoRhqRU6M
singer,XNwWFLtgL8I
Singapore,SqXx7G7FX5A
sitar,fxFtLW9HcC8
smoke,4iLJjksh3C8
smile,NoKq5zdDsQk
smell (sign 2),S3pN7MBKPU0
smell (sign 1),lo-tct1Ryrc
smallpox,qSuPoYq-8lc
small,k0pUR0HlaNw
slap (sign 1),5-Twa3eHlf4
slow,_sL5FydI-Is
Slow Passenger Train,QyxD5H8-cHE
Slovakia,IghFboP-goM
slope,twc2FUfpUYs
slippers,YYJ96CO6dt0
slip,0PKQWh0-C8o
sleep,nIBj-sIAi3s
slap (sign 2),Lv_-f-V3ylE
smog,4P7EFM3C4MM
soft (person, behaviour),NBEVpBk-9VI
sofa,ds5AgTizcgg
sorry (sign 1),TiPPYhh323E
soon,uvKTMTQqfu0
Sony Mobile,vFJOA9dR7Bw
son,LiMHHFhjutc
sometimes (sign 2),cPtb9OMfZ0w
sometimes (sign 1),-kNkN1zSAfc
something,gR1Kd5i82-0
some,_NQG94L6Ook
solve,ED7sE5v2jKE
soldier,2kiOvqNPlEE
soil,EgeA95Yf9IQ
software developer,B4Anc1i1S1E
socks,4TymgqvinvY
socket,977nahhu-Zk
society,ND4_C6fI-BU
social (sign 2),rWM6kOxTTIo
social (sign 1),TPwPNPP1rpI
soap,hurQiZ-f8WI
sorry (sign 2),0sE5EMDNsDo
sorry (sign 3),KXnSguJGdN8
south,SGLYqU0p4X4
South Korea,vFYN8jgOhb8
So far, so good,_xCyuW8Z7AU
snow (sign 2),KU3jXLCl5ng
snow (sign 1),o3Yqyk3bfXE
snake,LJZaMf1NGs0
snail (sign 2),7al_t9swbtA
snail (sign 1),UUYEkCl4HvI
soup (sign 1),1PVMa5B3rMs
soup (sign 2),nReXFWHGPdg
South Africa,tcPXoZXEs2g
sperm,ghyJZVAibyA
speech therapist,TcjKtM3VKj4
spectacles,nRHDYOP78eE
special (sign 2),PWHh7NmzzV4
speak, speech (sign 2),Yipdqci-cG4
speak, speech (sign 1),gNuAOCWJkZc
sparrow,04Y_zC6sQ80
Spain,TLXAEKQwcBY
South America,cDV-k7lXo7w
Spice Jet,yRoamy-gOgY
sphere,aFelqRyZOM4
special (sign 1),cjb9U7rI-pk
sunrise,Y8X09M_jMsI
sunny,WERWKq12o8g
sunflower,b5R9Ubu8bw4
Sunday,dVHZX2-cexY
sun,36-jdo8Gt4o
summer,9A6I1vyyc4s
summary (sign 2),48ODiLP2VgA
summary (sign 1),PUtHYOs4aXQ
suggest,x77fC4-wJ8c
sugar,knDXwoLESEc
suffer,1Zy29R7mOcM
sudden,s3tJWRZegCw
Sudan,s4ez79CSE58
success,FNwSw0aI6yk
subway,GN8sm5YR2kg
subtract (sign 2),vITeIiXX1xE
subtract (sign 1),-x6oHEcUExQ
Subhas Chandra Bose,dqZy_QkKqNM
stupid,kgvFkAx0xbE
stumps (cricket),DY9ZAVPwT8o
study,oAhY6BKcbG0
student,Y66DFt19PyE
stuck,CvB9G9rAoNY
strict,eH7rPf10P-w
stressed, pressured, frustrated,HLJXFFx-auI
stress,NZn29gNlDio
strength,NjzsZG20E7U
strange,4bjLAMYZciw
straight,H9nx2rpmH04
storm,BdxydPFxfAA
stop (sign 2),mwUQPlBBZgE
stop (sign 1),FHwjyQeLNuY
stone,kcHPJA0kPtg
stomach,XhiIueAytF4
stink,y938xCsUbpo
still,fySF9xDtT40
steel,RyuTiOy4BBI
stay,mEKieyopxsc
stationery,Ctsn9y9OSCk
states,Qn3Yf2GDWn8
state,nPejilWVcLU
starve,JQ0W7D0nvlY
startle,H1Zt1GDnh-8
start, begin (sign 2),QmWhfW8wyMs
start, begin (sign 1),f0EqkYZvyIQ
starfish,ve8zSDsdFzs
star (sign 1),R3jedCIQWrE
star  (sign 2),FPuKLNX3uKI
stapoo, hopscotch,-0Oo1kPonYQ
stapler,GKyaVPkBIvU
standard, standardization,ijMeKPPK14c
stairs (sign 2),JGmPOUUxRzE
sunset,DjEe79bR1M4
superficial (sign 2),OelZVA_CCzo
superficial (sign 1),SDQ1doHsLn0
superficial (meaning),aBCIEB9IdNI
Superfast Express,Ci-i1-FzGTU
Superman,jrxgxM0Pj7g
superstition (meaning),K5zspSyQmSU
superstition,u6eoD3GXOZE
supervisor,HnmeVz4t4Xk
support (sign 2),ULXqpYB1yYw
[Private video],GeVnlqGHpEA
support (sign 1),EcCzQVbFiwE
swim (sign 1),NZmei16Tm_4
sweet lime (sign 2),wiemsBV5e08
sweet lime (sign 1),JwE82vJ5lF4
sweet (taste),8AKc3tUUqso
Sweden,S4GZ0J3GZvQ
sweater (sign 2),3S1RLtVj7PE
sweater (sign 1),J84aAikfD88
sweat,YYMy75KpmJk
Swaziland,gMJuEhuQYAg
Swami Vivekananda,YPzV-zClOkw
swallow (liquids),xEp-ufgrq-g
swallow (food),30OIyeGhcQM
surgeon (sign 2),IijA65GKXKc
Suzuki Car,GybjWmdp4jM
suspect,IO-b4Lt249Y
suspect (example),XYVygMJqlTQ
surprised, shocked,XgbPX-5ddNM
surprise,h4y0h7GDHA8
surname,OwI1yeom0EM
swim (sign 2),6oKB5PY2M64
swimming,ExEPNAW_Zk4
swing (sign 1),eihGwOuNl1E
swing (sign 2),f5uvvlfPawU
switch,LqLnP37No_Y
racism,kGa7Bq3pYqQ
Rabindranath Tagore,r15J1z-vQIM
system,deXIYwtAoUw
sympathy,F2SfSlbRkj0
Switzerland,S1eFafNFNOE
Syria,gPKQvW2CXhg
Ram Navami,US1v85XAz0c
Rajdhani Train( sign 2),7u54vvW1UKQ
Rajdhani Train (sign 1),x1Abu6sfP5A
[Private video],zkQeGg5DkVc
[Private video],T9nijwnbCqw
raise (head),tHSogBpBi5A
raise (hand),wkdHGN4OO-I
[Private video],pl4fBwS1VKA
rainbow (sign 2),a7gXYwtf0aM
rainbow (sign 1),YPnTIhCizr0
rain (heavy rain),uqaIszhdKfc
railway track,hZGHZ9sLtlg
radish,EWDMPkRnEHI
radio,SYrln3Ug1Lk
Rama,fAbE9RGaHr0
rarely,oLKRnSnr58c
rare,umCgstR_pg8
Ranveer Singh,0ggPraT35p0
rank,2UL2iPLFUTE
range (sign 2),5rAIznB2Sg0
range (sign 1),jcvnsL69MMo
[Private video],rN9rKeJZmqI
rasgulla,tkqalXOIXJA
rat, mouse,WuKSQ-_M1aI
rate, price, cost,q97fAwh2-aM
ready,1dsbO78Qh5I
read,OWya5pey33I
reach,izjMpJOgofI
raw,XjeeqnHHhJA
red,u5PdOyHh8Yg
rectangle,dqD5vrJHfQM
record,pYCXAIysO5Y
record (video),eoYHSxd5nWY
recognize,9FCa_zHS4-k
recharge (money balance),nmC9PhWItts
reception (sign 3),Xr1SEUip10E
reception (sign 2),xXykGIC9Yfg
reception (sign 1),l88Gk4kRlBE
reception meaning,L77Jvnk92gI
recently,4QdYqEbZu8Q
recent,4EihrPe_PfY
receive,Xu7Bjpz-ZRs
receipt,0PwKF0pTwpg
reason,CAKl640s6UE
realize,PNQdYXbMsPI
real estate agent,3dJCO6ExmY0
real estate agent (example),H7aCSMW9a-o
reduce,HJLgJ0K4-pk
roof,n8CdU-tQIX4
Rolls Royce,FAOHczmX7Kc
roll,zcKPzJMDkRw
role (sign 2),kv9Mw_tuoF0
role (sign 1),2vdw_PjA8FE
rocking chair,nur8ELm8QV4
rocket,iyvaYVAqszM
rock,nIw0e8QMIko
road,wa6VGunvMoo
right,IOp7Ml6b4sk
Right as rain,jRRSsM4QKow
rich,MGrjrGgjADY
rice,ds5lPKnltQc
rhinoceros,945eoq95GKM
reward (sign 2),1tRmBdfaCwQ
reward (sign 1),J36iHjTW6Jo
revolving chair,Rv7YAemJwp8
revise, review,Ra22ZVhrcxw
religion (sign 2),EwbZoVWQ6II
remember,Q25uAMfX5Fc
remove, delete (sign 1),qu0RevE96ac
remove, delete (sign 2),FlaNoLJsw-s
reverse,v6KlD6e05Fc
return,5nlcoXAOqFQ
retire,rNvWUflStQQ
result sign 2,hpY4EHeLGz0
result sign 2,hpY4EHeLGz0
result sign 1,eCHra4gvq2A
restaurant,MRf9vcls4eQ
rest,vTrtUfPI0RY
respect,e07tkwowhvQ
resolve,m8c-LCkr39Y
resign (sign 2),18f9RKQp4zw
resign (sign 1),ZLBwSYUFhqk
reservation (sign 3),YhVonZ8wM4s
reservation (sign 2),GWn73nB7NsA
reservation (sign 1),h5N2nXbDBm0
reservation (meaning),-Lnou_Pop1o
researcher,66XVsuuo9BA
research,uKWcQt8U4lA
request,ZcxtRrRVHFE
Republic Day (sign 2),dGP1h8tXPGY
Republic Day (sign 1),qmuQIVAAjOY
report,L9zst1EDfWQ
reporter,5cNi4x3S8RA
repair (sign 2),IgilYoGrZlg
repair (sign 1),4JPQ0EUdcbg
repair (meaning),kionVevx1ns
remove, delete (sign 3),nVGUO-aBw6o
restrained, bound, confined, chained,kO5NaIjjtn0
rubber, eraser,z4D6TU11HbE
Royal Enfield,8Z_T-zrBEr8
route,V3vmgiymarA
round,YnZWnAEfIPw
room,i11LzPy5OPQ
rubber stamp,l2aqBT_Vbyw
rude (meaning),Nn3ooGh1n7w
rude (sign 2),pJpVzk9brGM
rent,yQ7kMY9kDlM
rule,7w2Aev6pww0
Rwanda,h1mgzeLHaMY
Russia (sign 2),mEhGf6FP0Jo
Russia (sign 1),NhVVvn7cwd4
rupee,21Y0f3QHoKo
runs (cricket),TJJHfurpn-I
run,UWzrvtCcWDA
rum,6wOOntcIJjE
ruler, scale,fVKjue-fAkk
passion,osKMM2nRMaI
passbook printing machine,BDSIilJRj-4
pass,YtiMW5yuGp0
pass (ticket),yS482mzgCwo
party,Non0cu5dbSs
part(s),3pZp4IFQCuA
parrot (sign 2),2PcBSQ4A8XM
parrot (sign 1),m4NUhzj-l70
parliament (sign 2),_ZQRTRss6sY
parliament (sign 1),25Ju8FP3zV8
Pakistan (sign 1),XYyZ0xYVA6I
pair,Rd6B7wNJ2wQ
paint (sign 2),fAujasBRvD4
paint sign 1,cM_xDZOtPsc
pain (sign 2),UvsWlQg31Ts
pain (sign 1),BaXoF_r5D4w
paan,5TWOGQz75xc
Pakistan (sign 3),8O-mQYCFWoA
parking (sign 2),Z3vKfnZktzo
parking (sign 1),wtaxFUrko34
parents,2cDgDbxkXFE
parcel,wOwsXFMF1aA
paratha (aloo),rC5QdAVnv0I
peas (sign 1),3bV2PgWlc7M
pear,lzCeQ6VI2zU
peanut,b_cuB9Hjx34
peacock (sign 4),j3xrbfCVSns
peacock (sign 3),5dPJr4Pent8
peacock (sign 2),mnZrhrQqNQk
peacock (sign 1),yXtu327tJ28
Paytm (sign 2),5GWUar402WQ
Paytm (sign 1),KPIxtz5y-AQ
pay,FfuRz0AuxMs
pay in installment, EMI,h3c9_id8RWg
pay in installment, EMI (meaning),vLk7S0mnUms
pause (sign 2),GZSpfYjY3lM
pause (sign 1),Iu0WhShkyw0
patriotic,kwphB-3eDMU
[Private video],b1kVeCRjm1M
patience,jfjL9Too_gA
pastry,tNNf1uxRiDU
paste,aVxK8yw7z7I
past,qrkzRim1Qc0
paramedic,RN3kLXQdNcc
Paraguay,0hZluINun1Y
paragraph (sign 2),Ypycm97DvfI
paragraph (sign 1),2bDOqi4YXtI
paragraph (meaning),KtjbWweEkKE
parade, march (sports events),d9qLL38zaZ0
paper,KGd-YJ5cDTM
paper clip (sign 2),Sh5c_9ADHFs
paper clip (sign 1),QiHtCEo3nEk
papaya (sign 2),NuTEITSEAUA
papaya (sign 1),lR_1-a9k6wM
pants, trousers,XlPxk8w2uAY
panic,A_ghucv_daw
Panasonic Mobile,fBzuEo6DNDc
Panama,2tawxaYAZcA
[Private video],-pc9BOR8QtA
palm tree,EKZWNoQFQuw
[Private video],KDUJ4CR6_dE
pamphlet,HSxlr1h3TyM
peon (sign 2),pmZTgjnADhQ
peon (meaning),EQpjjm6rZTw
peon (sign 1),ObrkXqrK96M
penguin,fnOThtPRhVM
pencil box,W4I02aYytbg
pencil (sign 7),-C18cQCkCcw
pencil (sign 6),z1VPeFV_ew4
pencil (sign 5),GQaw-x-oXM0
pencil (sign 4),5pYCIsZH-H4
pencil (sign 3),0p_iET-2TRw
pencil (sign 2),EbmFC4EitxU
pencil (sign 1),b8uuqEIu8Ag
pen drive (sign 2),GleVWSS5dmo
pen drive (sign 1),AY5ZDfd57vc
permanent sign 2,6MpvtbLWDbo
permanent sign 1,ne5dJi6f9aQ
period time,8cz9vIAyOPE
perform,F-nZwpViPqM
perfect,Nud7Ld9x7Z4
percentage (sign 2),7HFTUAIevO8
percentage (sign 1),IMZb4D-ulNs
people,n7sdyYH_Vss
pen (sign 3),60gcpXhOpxg
pen (sign 2),m7zujfKvM9Y
pen (sign 1),yk1x10hOd1M
peas (sign 2),3X2TOqyDgv8
Pakistan (sign 2),oNnwv2EUUOQ
planet,6KoseVjvOE4
plan,bGzdNLa1O9o
place,xBLGhif1BWI
please (sign 3),iGDJKo1-w5k
please (sign 1),vMbLDoCayk8
play,5jDsH5VpFBo
plate (sign 2),Jn9jwPcSKag
plate (sign 1),g3I84gVyO9E
pizza (sign 2),DsIehsrzx7o
pizza (sign 1),EFd9_rQVW6k
pista,qweRHfBQxEg
pink (sign 2),1B_wGNSS-uY
pink (sign 1),ynvL576W11k
pineapple,jvTF5BY3UI4
pin,j0m4en9JPMo
pilot,8ucWkX-wRrk
piece (sign 2),9LWMsCmHhaQ
piece (sign 1),XunH_PEln9Y
pickle,DMaN0jUw3pU
pick (sign 2),OYQVWFoke9E
pick (sign 1),DA0Ma_9R3HU
piano,GZTuJ6NMvbw
photographer,tTM_n97xYp4
photocopy, xerox,4XFgnsejElI
phone,YhHAI3h-Pno
Philippines,eWg1Wo-dGaY
pharmacist,k-WaxvAgxrU
Peru,EZtR1UdIiBE
personality,JZRAOigBYnM
personal (sign 2),JPvEO-Q1N08
personal (sign 1),alvjMQjm1pM
person,_qWORH98SLc
permit,qp4Sw-QAMD4
permission,PffO6Uac1uY
photgraph, photo,Sd7e5qVlMB8
politician,A2flwWtlgdQ
polite,ZWdAqWE-J3k
policy (sign 3),pOrhwbKtrns
policy (sign 2),KbmqszvRUmQ
policy (sign 1),FGFEkUDv0Xs
policeman (sign 2),b5pF8YU_ILs
policeman (sign 1),hLzEs4ZdXg4
police,NmPpZgrECW0
Poland,uqfvjaFYDQg
poison (sign 2),q0tH9vIYWNU
poison (sign 1),PbfCur5zsw8
podium mic,fP4-gKIRpD4
podium (sign 2),V-BQYv-0PKs
podium (sign 1),DOHpEalcflo
plumber,iEoyPLi9Lys
plum,S-BjndLCySU
plenty sign 2,wgvsWR2YWxo
plenty sign 1,SQZyez6oDKg
please (sign 4),vAW9QDnXLrE
poor,guSd2Yti04Q
pond,NBrsl0Sk_KY
pomegranate,TQeI5Uixibg
pollution,jxApN53iXO0
politics,6m-jzzkuyGM
pressure cooker,GWQ3h3xY7os
president,IxDZyvc3cRM
present (now),Te9AcG7ugOc
prescription (sign 2),cKTC0499dBc
prescription (sign 1),nT_QwhsDXR0
preposition,2u2aH81FDWM
prepare,Otwvyu8956s
prejudice,vV1FizHByPw
prefer (sign 2),kadMX531Q2A
prefer (sign 1),EFPl9sfDRkM
predict,xtolpEBm2ro
pray,SFD6zesDMMY
pram,SQymUlHks-I
praise,PI6SVXN35Rg
praise, clap,N0OMPBVVK3o
practice,jXIz2WBz-V8
power,VCRZM4u-FYs
potential,67RFKb9R-Rs
potato (sign 2),3ir8Rnwx8TY
potato (sign 1),z66yE3ILKuw
popcorn,1iCtgbRsFnE
postpone,UrcPpbomhoE
postman,XRo4L75knlY
post,EJF-HPyHiYE
post office,CPzNAqruek8
possible,BI1IkyUrBT0
positive,8W0rN_UGUDM
Portugal,Ekmr93MXzCE
price,s5cimY-et2g
prevent,Lr1RBzRU5IY
Priyanka Chopra Jonas,SaQIh-rBkqM
private,1OPTSnDAImg
printer (sign 2),VL83qtgsLCk
printer (sign 1),YuqMoY_OqRg
print,VdaOSlNkCEY
principal (sign 2),GGbmYniJ_EM
principal (sign 1),ON8Ou8j8BjY
prime minister,O-H9plmvvoE
quiet,OL-CqbpYr8w
quickly, hurry (sign 1),9MZyb9n2hmw
quickly (sign 2),IGsDuTIs2ZU
queue,4mzBkoNvj34
question,sh5goqn8bGI
query,Km1_9ZLW-w0
queen,WlHa4foZbc0
quarter,QowRgF354O8
quantity,Dvpc0R8CfI0
qualification (sign 2),AUnzt1FRoRk
qualification (sign 1),MMzsqe-mNmc
python,VBX7WykbnZM
pyjama,OL_k_mBRxbA
puzzle,zCAa4hAv2AY
put (sign 2),jvqLDP06WII
put (sign 1),0F7sYNf4uxU
put (meaning),MMp7gwH60cU
Pusarla Venkata Sindhu,vILWc30qenk
pure,MLAL7ASrh5s
puppet,8TKDYaZqEFA
Punjabi (sign 2),uF8zIar63bQ
Punjabi (sign 1),NxxURb8wKd0
[Private video],NypNRzPI2Hg
[Private video],NhFLlpEnqK8
punish,O4sOntiraJc
[Private video],GjqR1Zt5Yjw
punctual, on time,Uwz4-pLZMC8
pumpkin,Y7eYIdnqRSU
Pull yourself together,-0aVPU0Lmdk
Pull someone's leg,3MxE482U2Ns
[Private video],VHEz_cYLDe8
public,5YO6JToom0U
psychology,F2oFyH9CkpI
prove,94r3k7n7oTs
proud,l4sZF-4-a3A
protest, rally, march, demonstration,oL5-8eYbp3I
protect,fxWTlUwF1O4
property,YFl0dGwRwYo
proof (sign 2),ijKFau9K4Rw
proof (sign 1),7spvXhsm6k0
pronoun,p___W5DGZYM
promotion (sign 4),i51r2vobqyY
promotion (sign 3),0NUyw07V03g
promotion (sign 2),R0JV03iiFtU
promotion (sign 1),zZVuyuVTFW0
promote (sign 2),_u5BpyWgd2k
promote (sign 1),AfzXlh8OgnI
promise,aJvkIV-8Q9A
projector (sign 3),ZAVbHxqvcZM
projector (sign 2),qmOaTqw3WQY
projector (sign 1),rlMareW0lTU
program,dq2YpgXqCn8
profit,cfZzelNoOtA
professor,AMSxEvyhESk
professional,LzD3My7FOzI
profession,7YQ0D3swwMk
process (sign 2),CpbiUt_BR3U
process (sign 1),LmFIEd0Ejq8
problem,oY37vXA7tXk
open (sign 1),uGjEbNgtauE
Ooty,_pzmJOER_y8
online shopping,LYaC4yU2_AE
online (sign 2),t1ElZ8Bbzyg
online (sign 1),4TXbOxz60R4
onion (sign 2),Qo2EdbZg68A
onion (sign 1),B6dVHrpiFws
OnePlus Mobile,ZsQM3Ip3WP4
one and a half hours,Hv3CUeYzFGk
on,Gh-mMyOy1UY
On the fence,M1exrb6hf9I
On the ball,g78cA4s3tcA
On cloud nine,KuG1qosmz1w
older sister, elder sister,YCnpEJTrtb4
older brother, elder brother,zEhEGpPHGLE
old, obsolete, outdated, ancient (thing, time),ynZd-HeXGnc
old, aged, elderly (person),z-gika19BqU
old (things, time),g8--b-O60kM
1 one,lH6pT7nQb9A
okay (sign 2),EZpZvb2wicY
okay (sign 1),mdghSfzgn_w
ogle from head to toe, gape, gawk,z9fE3-r78UE
ogle from head to toe, gape, gawk (meaning),8IJCjt_xuXg
often (sign 2),k7RALdyULIU
often (sign 1),m-YncUJ0SpA
official,ZAXYZbQjJd8
official (person) (sign 2),WegWM9MfmYo
official (person) (sign 1),bmMd8l2xZaE
office,3kNaobravCU
office branch (meaning),PUDnvoajVUk
offer,oWtw4v6uVEo
octopus,kyMdUjCgk_k
October (sign 2),3Azhh428me8
October (sign 1),fU3FLT8aa_A
obey, comply (sign 2),V94cJaXyYpY
obey, comply (sign 1),gCc-L7xN82s
oath, pledge,NVNirvNgU9g
1,00,00,000 one crore,6Xyl6CNQ_f4
1,00,000 one lakh,sw0z81Ri4ps
operation,R07yPaWBR8g
organization,3MoTC6iB3xQ
order, command, direct, instruct (sign 2),_Zqd_PC4zYs
order, command, direct, instruct (sign 1),d_0HZMA0Ml0
orange,MMrUJwt_8oQ
oral, spoken,czE3uNUVUKA
option, choice, alternative,kqm4fF_sp4M
oppression, injustice (meaning),1edglbTViU4
oppress, subjugate, suppress,8CsqDF-3gGA
opposite, contradictory,D12hlBiVjck
opportunity, chance,rzY50tnGKNg
Oppo Mobile,z-uZFPcqtcQ
opinion,g6N1jD8-u2U
our,MJTOje2ViH4
other,_Ugi-tUFXN8
ostrich,lJeijKlq1Qo
Oriya (sign 2),2-0sLH5bX0k
Oriya (sign 1),Eb1zmjEoyGQ
out, outside,KNZbdGWxDfw
over (sign 2),IljBrnpRkLI
owl (sign 2),3ymIgijDrC0
owl (sign 1),C9W9Hvx3nNY
over (sign 1),ZT1KeYVFU3s
owl (sign 3),lqh1z8IWu8w
owner (sign 2),XvUEpKDeies
owner (sign 1),c7P3OaUt-LA
own, possess,jwjeDemhdv4
own, mine,GeeCVBhDSKs
ox,geLlRLZnNhQ
owner, landlord,7JXTpPBaS8I
noise, din,hvNcv6oLpaY
noise pollution,91WkA3SEDpM
no, not,BEEOC2ZXhsg
No pain, no gain,r7g0SqQcr6I
no (sign 2),VS_ZuiQIJx0
no (sign 2),VS_ZuiQIJx0
no (sign 1),CXEDTo1PXCg
night,rayOhAZhd2k
ninth,1VHhWnMU21Y
Nigeria,Q7rYOmLAa2o
Niger,5udtEzoi0Lo
niece,BGIG-XfX4BI
Nice to meet you,F6sn_h1Xea0
nice (sign 2),QyL43-YjgK8
nice (sign 1),pFUbKCb5m0I
next year,A6f3QRzvHV0
next week,rW8bfuuzfgI
